labels,data
2,وَجَأواءَ تُتعِبُ أَبطالَها # كَما أَتعَبَ السابِقونَ الكَسيرا
8,ففيه قبل انتحاءِ القصد تسديدُ # لو أبصرت عينُ داوودٍ منافذه
13,حَتّى إِذا ما أَسخَطَ الإِلَها # وَبَلَغَت فِتنَتُهُ مَداها
0,ميزانُ أَعمالِكَ لا شَكَّ في # رُجحانِهِ وَالحَقُّ لا يَشتَبِهْ
10,وما علِمَتْ أنّا قنائِصُ لَحْظِها # ورُبّ مَهاةٍ تقْنِصُ اللّيث أغْلَبا
13,وَكُلّ جُرمٍ واقِعُ العِقاب # وَلَو عَلى الأَنسالِ وَالأَعقابِ
1,عَبِثَت بِها سِنَةُ الكَرى فَتَمايَدَت # في مُلتَقى أَسحارِها أَشجارا
11,تَمُرُّ حَوادِثٌ وَيَطولُ دَهرٌ # وَيَفتَقِرُ المُجيزُ إِلى المُجازِ
4,وَعُمَرٌ وَهْوَ أَنْجُمٌ زُهُرٌ # نَسْرِي بِهَا لِلْهُدَى وَنَقْصِدُهَا
0,حَتّى مَتى نَحنُ عَلى فَترَةٍ # يا هاشِمٌ وَالقومُ في جَحفَلِ
4,والوُرْقُ بين ألأوراقِ صادحةٌ # فكلُّ ورقاءَ راسلتْ أَوْرَق
7,رُبَّ ساعٍ مُبصِرٍ في سَعيِهِ # أَخطَأَ التَوفيقَ فيما طَلَبا
1,لزمت ملازمها وأبرم عقدها # ملك إليه النقض والإبرام
1,اما ووجهك فهو صبح مشرق # وسواد شعرك فهو ليل مسدف
8,نُعْمى الوزيرِ من التَّصْريد سالمَةٌ # وفي الإِضاقَة بعد العُذْرِ إِيثار
11,ولا تنظرْ إلى حقي ولكنْ # إلى ما فيك من كرمٍ وخير
1,لو لم يكن رمضان شهر كرامة # يقضى له بخصائص الإكرام
10,وعَن غُرةِ الإصباحِ غمَّضْتُ إِذ غَدَا # لغُرتِّه الإصباحُ مُذ بَدا والفَجرُ
8,ما جِئتِ مَبعوثَةً بَل جِئتِ باعِثَةً # هَمّي وَلا خاطِرٌ في الهَمِّ مُنبَعِثُ
13,آتيكُما بِما أَرى في البَيتِ # مِن عَسَلٍ أَو جُبنَةٍ أَو زَيتِ
9,زَوَّدوهُ طيباً لِيَلحَقَ بِالنا # سِ وَحَسبُ الدَفينِ بِالتُربِ طيبا
4,إِنَّ لَنا فَخمَةً مُلَملَمَةً # تَقري العَدوَّ السِمامَ وَاللَهَبا
7,قسماً ما حلت عن عهدِ الوفاء # بعد مصرَ لا ولا نيلَ بكائي
11,وبابُ محمدِ المرجوِّ يروَى # لقاصدِه نجاحٌ أو نجاء
0,جارَت بَنو بَكرٍ وَلَم يَعدِلوا # وَالمَرءُ قَد يَعرِفُ قَصدَ الطَريق
2,إِلى عَمَرَينِ إِلى غَيقَةٍ # فَيَليَلَ يَهدي رَبَحلاً رَجوفا
11,شُجاعٌ فيه تتّسعُ المنايا # إذا ما كرّ في ضيقِ المجالِ
11,فَدَيْتُكَ هَلْ عَلِمْتَ بِأَنَّ عَقْلِي # عَقِيرُ عُقَارِ شِعْرِكِ مُذْ حَشَاهَا
4,قَالتْ أَنَا أَمْرٌ لامْتِحَانِكَ ،سِــرْ... # قُلْتُ اخْتِصَارًا : كَفَى بِكِ النَّسْيَــا
13,مُبتَهِجاً يُفَكِّرُ في وَليمَه # وَفي فَريسَةٍ لَها كَريمَه
4,كَيْفَ وُصُولِي إلَى الدَّجَاجَةِ # والبَيْضَةُ عِنْدِي كَأنَّها بَدَنَهْ
2,لَعَمري لَقَد جَعَلَ القادِحو # نَ بَيني وَبَينَكِ يورونَ نارا
10,فُؤادي وَعَيني حافِظانِ لِغَيبِها # عَلى كُلِّ حالٍ مِن رِضاءٍ وَمِن عَتَبِ
8,حسبتِه بهوى الحُسَّانةِ الرُّودِ # لا والرَّواقصِ بالأنْساعِ يَبْعثها
7,فاعفُ عني أن تَلَجلَجت فما # لي إن لم تغتفر قولاً يُقالُ
7,راسِخٌ يحلُم في حَبْوتهِ # فإذا ما ركبَ العزْمَ قَتلْ
0,مُخَفِّفاً ميزانَ حِلمي بِها # كَأَنَّني ما خَفَّ ميزاني
1,وظباء وجْرَة في الخدود أوَانِساً # والبدر من أفق الغلالة مُسْفرا
7,فاصلٌ للحكم لا يُجزهُ # شغبُ الخصْم ولا طولُ الجدال
10,وَلَيتَ الَّذي بَيني وَبَينَكَ عامِرٌ # وَبَيني وَبَينَ العالَمينَ خَرابُ
11,حوَتْ أفواهُهم خَمراً فصِيغَتْ # ثناياهم على نسَقِ الحَبابِ
11,أُكَلِّفُها وَتَعلَمُ أَنَّ هَوئي # يُسارِعُ في بُنى الأَمرِ الجَسيمِ
11,سَقاها الحُسن ماءَ الدَّلّ حَتّى # مِن الكافور انبتهُ قَضيبا
13,ولا حلا بعين رائيه ولا # صفا النسيمُ فيه للناس ورَق
4,وَالْمَحْ مَحَاسِنَ تَسْتَطِيرُ سَنىً # وَشِمْ شَمَائِلَ لَسْتَ تَعْهَدُهَا
10,وَلاقَتْ علَى حُكْمِ السَّعَادَةِ بُرْدَها # ومَا بَرِحَتْ أثْنَاءَ شِقْوَتِهَا رَهْصا
10,رَماني فَلَمّا أَقصَدَتني سِهامُهُ # بَكى لي وَشامَ الباقِياتِ مِنَ النَبلِ
2,حَبيبٌ أَبى أَن يَرى مَربَعاً # وَلَيسَ لَهُ في رُباهُ مَقامُ
8,لكنْ لفرط غرامي تَمْنَع الشفقة # بَرٌّ وبحر جَفاه الوحشُ والسَّمَكُ
7,رمت الطفل فأدمت قلبه # وأصَابت كبرياء الرجل
4,إِنّي لَباكٍ عَلَيهِ ما طَرَقَت # عَينٌ وَما فاضَ دَمعُها السَرِبُ
13,فهاكها ربعية الوشي وقد # حاكيت في الصدح بها السواجعا
11,فَهَل نُبِّئتَ عَن أَخَوَينِ داما # عَلى الأَيّامِ إِلّا اِبنَي شَمامِ
4,وقد يسمونه المطبّق وهو # و الضارب العظم ساعةَ الوَهَل
13,إن شئت أن تعرفه حقيقة # فارصده في ليل العجاج الثائر
0,فَأَولِجِ السَوطَ عَلى حَوشَبٍ # أَجرَدَ مِثلِ الصَدَعِ الأَعفَرِ
11,أعاذله على المعروفِ دعهُ # فإنَّ له به عنك اشْتغالا
2,يَؤُمُّ الغَيابَة مُستَبشِراً # يُصيبُ المَقاتِلَ حَتفاً رَصينا
10,فَوَيلَكَ مَن لِلحَربِ إِن لَم نَكُن لَها # وَمَن ذا الَّذي يُمسي وَيُضحي لَها تِربا
6,بَيْتُ الشفَاءِ مَزَارٌ # يَؤمهُ كُل رَائِمْ
11,يَقولُ لَكُم غَدَوتُ بِلا كِساءٍ # وَفي لَذَّتِها رَهَنَ الكِساءَ
8,بَزَّتْهُ أيامهُ أرْماقَ بُلْغَتهِ # فازداد صوناً على اللَّزْبات والقُحَم
11,وَمَا ثَنَتِ الصَّرائمُ منهُ رَأْساً # وَلا رَدَّتْهُ حَاشاكَ المَقَاوِدْ
10,كَعُصفورَةٍ في كَفِّ طِفلٍ يَزُمُّها # تَذوقُ حِياضَ المَوتِ وَالطِفلُ يَلعَبُ
8,قل يا سميع الدعا يا عالم الأسرار # يا كاشف الضر يا غفار يا قهار
11,أغارَ عَلَى قُرَى فَاقوسَ مِنْهُ # بِجَوْرٍ يَمْنَعُ النَّوْمَ الجُفُونا
4,أَبلَغُ أَهلِ الغَرامِ فيهِ أَنا # القَلبُ وَالجَفنُ ناظِمٌ ناثِرْ
1,أطفأت نور الله إلا أنه # أطفاك من لفحاته بضرام
8,وَنَشَّرَت عَزمَهُ بِالنَصرِ أَربَعَةٌ # سَعيٌ وَسَعدٌ وَراياتٌ وَأَعوادُ
2,وَيَبلى المُحَيّا فَلا ضاحِكٌ # إِذا سَرَّ دَهرٌ وَلا عابِسُ
11,وكنت أظن في كبري صلاحاً # يكفّر زلةَ السنّ الصغير
0,فهل يُرجَّى لفؤادي وقد # سارَ مع الأظعانِ اِطلاقُ
9,رشأٌ دبَّ في سوالفه النم # لُ فهامت خواطر الشعراء
11,دَعَاهَا وَهْيَ عَاقِدَةٌ حُبَاهَا # فَحَلَّتْهَا فَطَارَ بِهَا هَوَاهَا
9,خُلِقوا سادَةً فَكانوا سَواءً # كَكُعوبِ القَناةِ تَحتَ السِنانِ
1,وأعدْ بملتفّ الغضا ذكرى شجٍ # طويَتْ على جمرِ الغضا أحشاؤه
1,وَنَفَضتُ مِنهُ يَدي بِعِلقِ مَضَنَّةٍ # فُتَّت بِهِ الأَكبادُ وَالأَعضادُ
4,قَد كَتبُوا عِنكَ ما تُصنِّفُهُ # قَالَ الأَديبُ المُحرِّرُ الفَهِمُ
10,بَدا لِيَ أَنَّ اللَهَ حَقٌّ فَزادَني # إِلى الحَقِّ تَقوى اللَهِ ما كانَ بادِيا
9,نبويٌّ منه بكلِّ نَديٍّ # ينثُرُ النّاسِبونَ سِمْطَ فَريدِ
7,كم لها من كربةٍ فرَّجها # بالعياضيّ إذا الأمرُ كَرَبْ
8,أطلالاً عفتْ من أحبّاءٍ وسكّانِ # لولاكِ يا ظبيةَ الوعساءِ لم أجُبِ
2,وخير عمادٍ أعادت علاه # وأعلت قواعد بيتٍ مشيد
8,ينزو إِلى طمع الدنيا إِذا عرضا # ضاعف لي اللَه فيك الحب مقتصدا
13,وَباتَ تِلكَ اللَيلَةَ السَعيدَه # مُمَتَّعاً بِدارِهِ الجَديدَه
11,كِبارٌ في العُيون صِغار حَزم # سُروجَهُم لَدى الهَيجا مُهود
13,قَد سَبَقوا بِالمَجدِ مَن تَعَرَّفا # مَجداً تَليداً واصِلاً مُستَطرفا
0,وَما عَلى غَيري بِهِ أَجمَعَ ال # جُهّالُ مِنهُ فِيَّ مَنصوصُ
7,كلما كفكف من وثبتهِ # ذهب الخوفُ بألبابِ الرجال
0,ملكتِ فؤادَه بكحيلِ طرفٍ # وفاحمِ طُرَّةٍ وبياضِ جيدِ
9,تنكر النور في الوجود فيغدو # محض وهمٍ كأنه ما رأيته
8,فالأجر أفضل من فرطي بكم عوضا # يا سعد جدي إذ لاقيته بكمو
11,وَوَطءُ بَناتِنا حِلٌّ مُباحٌ # رُوَيدَكُمُ فَقَد بَطَلَ العِتابُ
9,لَمْ يَضِرْهُ خَرْمُ التَّعَاقُبِ إِذْ أَبْ # دَى الْمَعَانِي غَرِيبَةَ التَّحْجِيلِ
7,إِنَّني لا آمَنُ الرُسلَ وَلا # آمَنُ الكُتبَ عَلى ما تَحتَوين
10,تَعالوا نَقِف صَفَّينِ مِنّا وَمِنكُمُ # وَنَدعو إِلَهَ الناسِ في وَضَحِ الفَجرِ
11,فهذا البيت جامعُ عين برٍّ # وبابُ صِلاته بابُ الزِّياده
7,أنت بِكْرُ الفضلِ لم يأتِ له # بأخٍ مذ كان عَدُّ الحِقَب
2,أَجِدَّكَ لَم تَغتَمِض لَيلَةً # فَتَرقُدَها مَعَ رُقّادِها
11,أأندى العالمين ندًى وأجدى # على العافين في الزمن العسير
7,عُوِّضَتْ عيناهما قُرَّتَهَا # ثَمَنَ الدَّمْع الذي كان سُفِحْ
2,نَصَحتُكَ لا تَعتَرِف يا أُخَيّ # بي فَأَنا الرَجُلُ الساقِطُ
2,فمنطق كل امرئٍ مظهر # على ما رأيناه ألبانه
6,يا خاتم الفَمِ سُؤلي # أَن أَجْعَلْ اللَّثمَ فَصّاً
9,فَاِشرَبوا ما وَرَدتُّمُ الآنَ مِنّا # وَاِصدِروا خاسِرينَ عَن شَرِّ حالِ
0,وَإِنَّما تُحمَدُ رَدانَةٌ # باتَت مِنَ اللَهِ عَلى خِدرِها
2,عَشِيَّةَ رَوَّحنَ مِن عَرقَةٍ # وَأَصبَحنَ فَوضى عَلى شَيزَرِ
6,ومن إذا شاء أطفا # بالعفو نار احتراقي
6,يَا أَوْحَدَ الطُّبِّ هَذِي # بُشْرَى وَقُرَّةُ عَيْنِ
9,أعجزَ الدُّرَّ نَظمُهُ فاستوتْ في # هِ اليَدَانِ الصَّناعُ والخَرْقَاءُ
1,من لي به ذهبي لون خده # ديناره عن ناظري لم يصرف
7,بِفؤادي لك حُبُّ يَقتَضي # أَن تُرى تُحمَلُ فَوقَ الأرؤسِ
2,لِتُدرِكَ شَأواً عَلى قُربِهِ # وَتَكسَبَ حَمداً وَتَحمي الذِمارا
13,نشير حول الملك المنصور # كالشهب حول القمر المنير
9,أي روح أحسه أي سحر # سكبت فيّ هاته العينان
2,فَإِنَّ الإِلَهَ حَباكُم بِهِ # إِذا اِقتَسَمَ القَومُ أَمراً كُبارا
10,أَيَحلو لِمَن لا صَبرَ يُنجِدُهُ صَبرُ # إِذا ما اِنقَضى فِكرٌ أَلَمَّ بِهِ فِكرُ
11,تُعَرِّفُني إِلَيهِ وَلا أَراهُ # وَتَعقِدُ لي مِنَ الفُضَلاءِ أُسرَه
8,قالوا الأَحِبَّةُ ما صَدّوا وَلا وَصَلوا # إِذاً فَقُل لِيَ ما أَحيَوا وَما قَتَلوا
8,فَقُلتُ إِذ ذاكَ لِلدَهرِ المُسيءِ بِنا # أَنتَ المُسيءُ الَّذي أَحسَنتَ بِالمِحَنِ
11,وَلا ساقٍ بِهِ إِلّا عَذولٌ # سَقاهُ اللَهُ مِمّا قَد سَقاني
0,إنَّ ثَلاثَةً صَحِبَتْ ثَلاثَةً # أَعَبْتْ عِلاجَ بَدْوِها والحَضَرِ
0,ولا ندامى إنهم قد مضوا # ولا كؤوس بالطلا مترعه
12,فَرُمْ تَحْصِيلَهَا فَهْماً # علَى أَهلِ الدِّراياتِ
6,والعفو عن كل ذنب # مع صلاح الأمور
10,يُذَكِّرُني نَجداً حَبيبٌ بِأَرضِها # أَيا صاحِبي نَجوايَ هَل يَنفَعُ الذِكرُ
4,والباهر السيف نور منظره # يبهر نور العيون والمقل
9,لا تُغَيِّر هَذا البَياضَ فَإِن تَأ # بَ فَلا تَجزَعَنَّ إِن قيلَ ناصِل
11,ممدحة ثلاثتها لضرّ # ضرَابٌ أو طعانٌ أو رماء
9,رَاجِلاً رَاجِياً خَلاَصاً وَقَدْ أَنْ # شَبَ فِيهِ الْعَنَا مَخَالِبَ فَاسِ
0,واسْلك إِلى اِحْرازِ غاياتهِ # وَعْراً مِن الرَّأي ومِنْهاجا
7,جَأشُهُ لَمّا احتَواهُ جَيْشُهُ # صارَ أرْسَى مَوْقِفاً مِنْ أُحُدِ
2,أَقَمنا عَلى أَنَّها نِعمَةٌ # تَقَرُّ بِها أَعيُنُ الناظِرينا
0,ولحاجبينِ إذا تعرّض ناظر # متأملٌ قالت لقوسيها خُذا
11,أَمنجك كُن صَبوراً في البَرايا # وَطق ما لا تُطيق لَهُ الصُخورُ
0,وقد بلغتهم جداً وجهدا # وليس عليّ يا ربي هداها
12,وَأَلقاكَ بِإِخوانٍ # يُدانونَكَ في السِنِّ
7,لِم تسقينيَ من شهد الرضا # وتلاقيني عطوفاً وكريما
5,دَعْ أَساليبَ النَّسيبِ وَخُذْ # في أَساطيرِ الأَساطِيلِ
7,لست انساه وقد هام بها # في الدجا يسعى ويجلو القدحا
0,مولى سما قدرا ومجدا ولم # يزل عليا سامي القدر
7,أطْلَعَتْ منهُ الليالي بُورِكَتْ # في سَماءِ المَجدِ بَدْراً نَيِّرا
11,عَلَى مَنْ أَصْطَفيهِ فَتَحْتُ بَابَا # مِنَ الكَلِماتِ تُوسِعُهُ خِطابَا
7,خَبَأَ الدَجنُ لِأَرضٍ جَودَهُ # وَطَوى أَرضي بَخيلاً ما قَطَر
8,دأبٌ وسل عنهم إن رمتَ تصديقي # تزدادُ بالدم إشراقاً بمراصُهُم
2,يُقَلِّبُ حُقباً تَرى كُلَّهُنَّ # قَد حَمَلَت وَأَسَرَّت جَنينا
13,وَطارَ في الفَضاءِ حَتّى اِرتَفَعا # فَخانَهُ جَناحُهُ فَوَقَعا
0,وَالمُدُّ يَكفيكَ وَلَكِنَّ في # طَبعِكَ أَن يُدَّخَرَ الكُرَّ
10,أَما اِخضَرَّ مِن بُطنانِ مَكَّةَ ماذَوى # أَما أَعشَبَ الوادي أَما أَنبَتَ الصَخرُ
9,إِن تَطُل عيشَةٌ فَإِنَّ المَنايا # سَوفَ يُقضى لَها بِمَن عاشَ وِترُ
9,وذراعي في انتظارٍ وصدري # فيه بالضيف فرحة واحتفاء
11,سَقاهُ الحُسن ماءَ الدَل حَتّى # مِن الكافور انبتهُ قَضيبا
1,والشمس تجنح للغروب ونورها # شفقا يريك على سماء الماء
11,ولم يَكُ مثلُ فضلك في وزيرٍ # ولا سَيكونُ وانْقَطَعَ الكَلامُ
0,أَفْدِي بِنَفْسِي مَنْ بِهِ أُولِعَتْ # مِنْ شَادِنٍ يَهْتَزُّ مِثْلَ الْقَضِيبْ
8,تَقَدَّمَ الوَقتَ فيهِ الوَقتُ مِن عَتَمٍ # بِلا عِشاءٍ وَمِن صُبحٍ بِلا سَحَرِ
9,يا بَني المُنذِرِ بنِ عَبيدانَ وَالبِط # نَةُ يَوماً قَد تَأفِنُ الأَحلاما
11,يُفَضِّلُهُ شِتاءَ الناسِ مَجدٌ # إِذا قُصِرَ السُتورُ عَلى البِرامِ
11,أَتَانَا النَّظْمُ يُبْهِجُ كَالَّلآلِي # تَرُوقُ بِجِيدِ رَبَّاتِ الْحِجَالِ
13,وَالْبَاسِقَاتُ الشُّمَّخُ الْحَوَامِلُ # مَشْمُورَةٌ عَنْ سُوقِهَا الذَّلاذِلُ
11,يُقَرِّبُ جَسمَهُ لِلنارِ عَمداً # وَذَلِكَ مِنهُ دينٌ وَاِجتِهادُ
9,جُندُكَ التالِدُ العَتيقُ مِنَ ال # ساداتِ أَهلِ القِبابِ وَالآكالِ
0,يا صاحِ ماأَهوى وَما أُقلي # ثِقلي عَلَيَّ فَلا تَزِد ثِقلي
9,الأديب الذي به أدّب الده # ر فما يشتكى لديه عقوق
0,مَن يَعرِفِ الدُنيا يَهُن عِندَهُ # إِمراعُها الدَهرَ وَإِمحالُها
2,يُبادِرن جَرعاً يُواتِرنَهُ # كَقَرعِ القَليبِ حَصى القاذِفينا
2,لَقَيتُ قَوائِمها أَربُعاً # فَعادَت ثَلاثاً وَعادَت ضِمارا
13,لِكَونِ ما حَلَّ مِنَ المَصائِبِ # مِن غَضَبِ اللَهِ عَلى الثَعالِبِ
11,إليكَ أبو الخلائف من قريشٍ # سؤال سامه أملي وحامهْ
0,قد أثرت فيك ليالي السرى # ما أثر السيف بإفرنده
7,لفْظُهُ منْ روْضةٍ ناضِرَةٍ # وضِرامٍ ذي شَرارٍ وشُعَلْ
2,جوانبه من دموعيَ قامت # وأضلعه بُنيت من ضلوعي
8,حُسنى دعتك الورى من جملة الرمل # كم مقلة عميت أرجعت ناظرها
7,زاد وجدي واصطباري ذهبا # واستشاط القلب وجدا وصبا
0,أَعوذُ بِالخالِقِ مِن مَعشَرٍ # إِذا غَلَت قِدرُهُم لَم تَدُم
7,يقظةٌ طاحت بأحلام الكَرَى # وتولّى الليلُ واللَّيل صَدِيق
4,أفٍّ لقلبيَ إنْ لم # يوفّ بالحزنِ ودَّك
7,يوقِدُ النارَ إِذا ما أُطفِئَت # يُعمِلُ القِدرَ بِأَثباجِ الجُزُر
2,وَيَوم شَديد أُوارِ الحَديدَ # تَقَطَّعُ مِنهُ عُرى الأَنفُسِ
9,يومَ لاَ ظِلَّ غَيْرُ ظِلِّكَ رَبِّي # يَا غَنِيّاً عَنّيِ وَعَنْ حَسَنَاتِي
7,بَيّناتٌ فِيهِ آيَاتُ العُلَى # رَاحَ مُرْتاحاً لِحُسنَى وَغَدا
7,وإذا ما زهرات ذعرت # ورأيت الرعب يغشى قلبها
9,لستُ أنسَى ابْتسامها اللؤلؤيا # ملبساً خدِّي الدموع حليا
10,وَخَيرُ زَمانٍ كُنتُ أَرجو دُنُوَّهُ # رَمَتني عُيونُ الناسِ مِن كُلِّ جانِبِ
9,إِن تَكُونُوا قَتَلتُمُ النَّفَرَ البِي # ضَ وَغَالَت أُولئكَ الآجَالُ
0,أنكرتُها طُرّاً ولم أعترف # إلا بطيبٍ جاء من جنّتك
0,الطَيلَسانُ اِشتُقَّ في لَفظِهِ # مِن طُلسَةِ المُبتَكِرِ الجامِعِ
9,إِنَّ شَوقي إِلَيكِ لَو شِئتُ أَن يَز # دادَ شَيئاً لَما وَجَدتُ مَزِيدا
1,لو ذُقْتَ حين عَتَبتَ أَيْسرَ حُبِّه # لَعلِمتَ حُلْوَ غرامِه من صابِه
10,أَوَدُّكَ وُدّاً لا الزَمانُ يُبيدُهُ # وَلا النَأيُ يُفنيهِ وَلا الهَجرُ ثالِمُه
9,وإذا سخَّرَ الإِلهُ أُناساً # لسعيدٍ فإِنهم سُعَداءُ
9,أنتَ كالشمسِ في الضّياء وإن جا # وَزْتَ كَيْوَانَ في عُلُوّ المَكانِ
2,غَرِيبٌ أَتَى لِزِيَارَتِكُمْ # وَقَدْ أَوْرَدَتْهُ الذُّنُوبُ الْمَتَالِفْ
8,يَستَعذِبونَ المَنايا مِن سُيوفِكُمُ # كَأَنَّما الضَربُ في أَثنائِهِ الضَرَبُ
1,ونادَتْهُ الدُّهورُ خُلِقْتَ معنًى # تَكَرَّرَ بَيْنَ أَلسِنَةِ الدُّهورِ
0,يا راكب الهوجاء لولا البُرى # لقلتُ هوجاءُ صَباً أو شَمالْ
7,وَرَأَى مِنْ قابِ قَوْسَيْنِ الَّذي # رُدَّ مُوسَى دُونَه مِنْ طُورِ سِينا
1,وعَدَت شمائِلُها الشَّمالَ فكما # هَبَّتْ هَفَوْتُ كأَنني نَشْوانُ
3,خوف الواشين يشرده # نصبت عيناي له شركا
7,وإني مثلما قالوا # أخو نشوات عربيد
7,آفِقاً يُجبى إِلَيهِ خَرجُهُ # كُلَّ ما بَينَ عُمانٍ فَمَلَح
7,وكساها الروضُ نوارَ الذُكا # فتثنّتْ ذات بُرد أشقب
13,وَكُلُّهُم قَد كانَ لِصّاً عادِيا # ما زالَ قِدماً يَعمَلُ الدَواهِيا
4,أَماطَتِ السوءَ عَن ضَمائِرِها # فَلاقَت الخَيرَ في إِماطَتِها
2,وَمُستَدبِرٍ بِالَّذي عِندَهُ # عَلى العاذِلاتِ وَإِرشادِها
9,والدَّعاوَى ما لم تُقيموا عليها # بَيِّنَاتٍ أبناؤُها أَدْعِياءُ
7,فإذا رُدّ إلى موطنه # في جوار البحر يشفيه الجوار
10,عَلى ذاكَ ما يَمحو لِيَ الذَنبَ عِندَها # وَتَمحو دَواعي حُبِّها ذَنبَها عِندي
13,وَخَرَّ في بَحرِ الرِماحِ الأَشطان # عَلى الجَبينِ ساجِدَ العِمران
2,وَتَختَلِفُ الإِنسُ في شَأنِها # وَأَبعِد بِمَن باعَ مِمَّن شَرى
13,وَصارَ في الحِرفَةِ كَالآباءِ # وَعاشَ كَالفَلّاحِ في هَناءِ
0,إِثنانِ باتا في فِراشٍ مَعاً # فَأَصبَحا بَينَهُما ثالِثُ
5,قيل لي أودى سعيدُ بن عيسى # يرحم اللَهُ بن عيسى سعيدا
9,عَرَفُوهُ وَأنْكَرَوهُ وَظُلمَاً # كَتَمَتْهُ الشَّهَادَةَ الشُّهَدَاءُ
0,لفهمك الغفلة يا عاذلي # عمَّا أعاني ولفهمي الشعور
9,وَالصَّلاَةُ عَلَى أَبِي الْقَاسِمِ الْمُخْ # تَارِ مَنْ قَدْ حَبَاكُمُ التَّقْدِيسَا
9,ودُخانُ اللَّهيبِ تحت ضُلُوعي # كم أُخَبِّيهِ ساخرًا مِن دُخاني
1,هَذا الَّذي قرن المهيمن اِسمَهُ # مَع اِسمه وَجَلاه لِلإِظهارِ
13,فَلم يَذُق كَالحسنيّين البَلا # وَلا الحُسينيّون يَوم كَربلا
10,عَوَاقِبَ ما يَأتِي وَما هُوَ تَارِكٌ # يَذُمُّ الذِي لَم يَعْتَلِق بِذِمَامِهِ
13,فَوغِرَ الوالي عَلَيهِ صَدرا # يُظهِرُ عَطفاً وَيسِرَّ غَدرا
8,عيناه حتى عليها خيف من سبل # أمسى عليه حزيناً مثل والده
9,صغت من حلاك يا ابن عليٍّ # طوق مجدٍ على الفخارِ مقيم
11,تهنَّ بيمنها سنةً تجلَّت # بأنواعِ الهنا من غير لبس
13,وَفَضلُ ما يَبقى لتأخُذ جَذرَه # واجعَلهُ مَحفوظا واكتم سرَّه
11,فَإِني في اِحتساها لا أُعاصي # رَشا تَخذ الحَشا مني كناسا
7,قَصِّرِ اليَومَ بِكَأسٍ كاسَ مَن # صَدَّ عَنها وَاِنبَرى لا يَقتَصِر
13,أرجُو إلهِي وَأَخَافُ ذَنبِي # وَلَيسَ شَيءٌ مِثلَ عَفوِ رَبِّي
8,أَشِعَّةٌ تَحتَ سُحبِ الكَأسِ رائِعَةٌ # تَكسو المَفاليسَ أَكماماً مِنَ الذَهَبِ
9,ما سمعنا للأفضل الفرد ثانٍ # حبَّذا في ثنائنا من بديع
11,وَكَيفَ أَرومُ مِنكَ جَميلَ فِعلٍ # إِذا أَيقَنتُ أَنّي غَيرُ جازِ
13,تَناوَلَ الريشَةَ وَالطَنبورا # فَأَضحَكَ الصَغيرَ وَالكَبيرا
8,اِنَّ اللبيبَ غدا بالصبرِ مُرتبِطا # عَدِمْتُ مذ نزحوا نومي فلا عَجَبٌ
0,موثَقةٌ مُطْلقَةٌ لَيْنَةٌ # شَديدةٌ ثابتةٌ تَقْلَقُ
